id,A1,A2,A3,A4,A5,A6,A7,A8
18113,44,35,64,74,38,71,60,78
139,99,91,75,23,7,38,28,18
43276,68,84,79,90,8,73,34,79
49711,49,82,76,24,26,28,82,29
11498,84,93,52,96,9,90,41,22
325,62,84,16,98,92,94,46,94
46247,75,22,18,22,57,16,70,89
41271,80,40,61,9,2,95,15,31
1619,84,97,92,75,40,92,52,1
3854,6,70,55,23,92,19,20,43
5518,76,20,80,57,99,78,69,69
40953,70,19,36,28,77,66,91,6
3881,95,69,81,93,20,48,85,32
32484,25,69,11,6,68,47,35,17
41636,6,67,75,1,40,76,20,68
34815,73,96,56,6,12,48,25,75
4703,14,95,75,94,50,34,66,33
48819,38,78,57,0,58,85,67,18
21894,44,66,24,92,95,97,27,94
8090,27,54,31,79,61,48,29,15
26606,34,19,98,20,25,72,0,89
21818,39,90,96,70,20,36,31,90
33797,76,19,10,46,85,4,42,53
45773,23,74,7,44,23,69,28,4
41265,53,30,60,73,97,39,62,95
45505,53,96,41,96,48,31,38,46
38870,62,11,46,1,14,15,97,59
34686,36,35,75,24,31,69,91,34
14893,70,49,34,49,36,49,37,28
23341,30,43,87,54,87,26,42,86
41060,52,14,60,13,70,15,1,96
13303,4,76,67,89,57,80,12,67
21659,64,78,61,1,33,98,27,99
15024,96,36,2,80,31,12,18,2
48531,91,84,21,80,54,1,82,0
11071,68,28,68,14,77,61,39,68
48971,52,70,51,3,73,70,61,60
21468,31,65,52,54,37,11,44,20
37092,26,73,54,97,19,28,62,84
297,24,69,93,57,68,87,36,24
36529,15,65,61,20,24,36,80,4
40929,79,95,95,52,94,43,64,31
22161,94,38,50,35,55,72,98,54
21499,62,36,52,78,40,50,44,46
6061,53,45,85,96,11,33,17,39
32698,1,55,25,65,35,55,62,27
36268,84,7,82,59,93,85,95,14
18397,72,52,57,14,57,73,45,62
9923,78,31,17,97,60,63,86,22
15540,90,20,24,82,7,88,23,63
10516,48,89,32,49,11,88,51,41
30162,79,57,61,20,41,64,58,27
2219,11,80,99,65,93,43,47,19
19210,96,22,27,86,81,78,74,73
15281,60,7,33,14,81,30,46,72
22936,21,25,10,90,41,69,74,0
18212,47,1,50,99,31,67,89,78
1831,59,91,4,39,87,41,68,87
12017,56,34,31,88,17,32,4,86
34770,99,70,94,59,19,72,67,46
23822,75,64,20,98,94,7,62,34
42632,69,36,41,48,21,75,41,63
19364,60,30,99,69,94,20,61,10
47652,29,69,49,46,90,84,61,47
33240,87,46,14,48,14,72,75,61
49035,53,98,90,4,86,3,7,42
43126,98,45,81,40,7,13,37,50
48073,17,19,82,63,23,10,31,27
46576,26,21,26,83,42,61,28,47
19269,82,93,73,61,50,74,57,9
11955,98,95,92,99,6,78,31,38
7041,18,99,63,95,68,93,51,11
35997,26,96,79,29,28,1,15,44
11818,60,29,3,10,77,88,73,95
18305,33,72,4,52,9,14,73,77
20726,68,13,38,76,69,51,12,60
5860,74,93,26,34,98,50,32,18
21370,86,34,18,87,9,97,47,67
36638,37,92,92,30,98,73,65,24
15932,49,9,92,37,64,6,74,16
39415,75,38,4,15,97,79,79,39
41569,23,45,78,39,15,42,84,43
22827,0,77,2,62,65,25,3,17
18117,30,88,18,71,72,62,21,43
18007,27,31,8,95,39,23,26,56
41815,70,89,2,49,97,15,10,7
18982,36,87,25,59,88,42,63,32
27884,10,31,56,28,88,68,14,85
9711,59,31,93,62,16,86,53,44
4322,21,98,82,24,12,45,18,13
2455,60,33,6,91,69,77,3,79
24974,59,65,90,92,20,86,9,63
39931,77,5,72,24,94,63,21,91
14853,17,24,40,82,86,43,14,81
26783,38,64,27,17,51,19,68,51
20582,10,90,78,67,86,86,74,94
24523,17,2,88,60,30,82,93,84
24255,28,95,25,34,72,23,2,44
49308,28,31,13,20,1,43,51,61
42902,98,18,83,15,11,43,42,33
35565,87,28,90,22,16,21,21,86
19037,82,16,7,9,67,63,78,38
43459,64,50,97,66,15,34,36,18
46792,15,43,50,4,85,11,18,32
18279,71,75,12,15,27,12,51,28
48128,29,58,35,93,90,79,0,41
4576,3,38,79,11,91,32,36,78
16740,2,49,69,12,41,12,59,37
26695,17,21,57,72,39,78,56,89
19508,39,25,4,62,51,7,40,86
41779,8,21,84,26,67,24,98,37
24664,99,57,75,46,3,33,8,57
28424,79,98,34,47,33,33,55,62
22985,62,47,44,53,15,2,36,21
34566,58,9,75,78,64,24,76,33
21663,20,53,61,67,34,27,4,90
32008,97,22,55,74,96,53,27,29
9696,68,84,3,95,45,20,75,74
3632,72,55,48,16,5,35,95,8
39290,72,80,37,71,30,84,21,27
3390,66,93,63,70,61,34,82,44
32952,90,74,17,15,94,97,68,86
20274,13,89,25,66,69,2,17,52
7895,48,47,82,62,3,76,76,13
25300,75,75,82,76,52,62,19,99
8177,89,58,58,0,11,88,37,75
9372,87,3,38,77,0,54,38,81
15272,68,78,15,72,91,59,6,19
44912,65,18,2,15,24,98,68,18
45408,80,52,19,45,91,31,78,45
29325,49,96,38,88,47,1,7,90
36039,12,18,30,21,30,90,26,12
22556,23,51,90,2,20,89,1,14
32310,29,28,3,89,53,88,46,49
34042,72,65,83,28,62,53,67,40
44735,8,75,8,78,81,98,34,26
40610,69,32,80,21,39,87,33,84
9666,15,95,29,99,65,29,76,65
22879,53,10,47,97,35,54,72,40
28794,45,78,78,77,76,2,18,67
37317,82,38,69,70,1,72,99,32
9710,91,77,88,41,62,1,22,94
11738,26,8,10,85,83,37,26,97
37098,49,19,84,75,51,41,5,98
6221,21,71,8,29,42,35,71,5
29864,56,58,23,93,84,5,43,90
15994,72,59,90,18,46,48,93,45
15306,41,35,24,77,29,53,83,17
12541,65,51,32,65,50,67,57,10
36425,66,32,16,28,39,28,60,21
30136,26,49,27,43,98,63,96,8
39251,46,15,89,83,42,35,64,74
28975,99,78,41,78,9,15,64,39
20062,66,44,86,67,94,19,36,49
46531,2,20,64,75,15,43,87,15
16263,62,36,17,94,31,5,57,26
46483,59,33,84,7,54,36,20,41
46462,1,85,82,26,58,69,67,3
37004,92,70,43,73,78,95,77,25
39903,86,80,16,25,94,13,81,32
33996,66,39,99,70,98,47,88,67
31136,38,82,3,36,13,61,63,31
38677,49,29,6,32,2,77,62,71
17396,45,57,19,81,14,67,95,92
16586,43,84,40,29,29,5,54,82
14299,23,48,43,3,4,54,67,83
48396,65,24,88,77,12,32,57,23
8671,6,51,92,77,31,27,62,96
38181,44,93,31,64,17,59,94,59
4885,98,30,37,63,72,86,27,7
41204,67,31,14,35,57,5,68,41
16946,64,29,41,9,63,90,63,87
27002,17,58,15,89,9,41,40,13
12147,8,73,90,27,23,7,29,37
18339,1,99,97,60,72,72,69,2
44058,98,63,75,69,45,24,9,33
6178,23,14,87,15,72,48,64,47
12900,31,30,24,99,92,29,47,26
13269,99,88,73,89,98,87,23,39
45279,86,23,36,46,39,38,17,27
34776,7,9,23,65,47,1,77,1
46179,74,55,45,1,39,75,50,70
45269,46,2,79,59,26,41,19,65
38028,78,25,3,43,51,87,96,62
21758,6,77,96,21,43,23,62,92
6166,89,67,9,84,48,83,96,95
9292,98,92,29,55,46,18,80,59
13324,44,48,86,59,58,83,85,89
9569,81,81,54,97,31,44,56,67
38530,31,77,70,84,45,36,9,41
44085,61,17,74,47,30,55,26,6
23116,5,33,47,17,93,80,62,3
41302,8,71,58,87,91,38,33,51
1103,60,18,39,56,4,21,42,98
46767,81,33,67,76,11,98,17,53
18615,16,12,94,61,77,84,67,78
38752,17,40,93,45,26,49,92,89
27237,44,49,0,0,22,13,65,58
15405,74,9,54,37,28,89,43,69
3740,12,85,91,70,78,50,77,31
11970,41,84,84,57,50,50,62,67
1585,27,90,75,60,26,45,31,14
14508,19,62,73,11,12,26,24,26
4441,20,75,57,22,52,58,29,17
1213,0,99,38,0,20,61,9,45
37723,91,32,16,81,78,9,22,22
8912,90,3,9,25,56,30,6,54
29745,84,82,60,49,72,36,63,86
6947,9,68,59,36,25,72,98,41
33068,44,41,63,91,29,65,86,40
30653,38,46,88,96,81,88,52,99
41150,4,88,24,32,98,88,99,58
32,32,87,53,89,87,10,12,82
40024,82,61,82,25,94,35,87,16
15409,90,5,65,74,94,67,29,21
29289,95,61,32,57,16,42,29,34
25203,10,13,26,83,96,45,51,33
45091,80,13,53,6,42,66,13,70
1473,27,64,90,11,86,2,95,55
41127,66,18,19,88,74,10,77,61
3265,10,46,68,82,63,25,10,71
49417,17,20,1,38,56,43,10,14
8346,63,28,48,35,85,34,98,98
28704,80,83,74,99,86,6,26,49
12640,95,12,22,52,68,43,33,70
7014,19,49,86,59,98,25,33,35
37149,26,58,14,19,40,27,75,28
36398,23,8,10,24,64,52,28,5
30810,18,74,31,63,29,42,88,82
31297,51,16,23,54,67,16,35,67
9146,7,99,88,1,73,34,42,8
3741,28,49,27,48,13,99,97,41
7654,78,2,82,56,35,53,35,36
16832,98,74,80,91,87,71,3,47
18818,89,1,55,19,32,27,92,37
16352,27,95,37,65,38,85,29,75
13509,35,89,1,87,62,21,57,89
9344,10,39,65,29,19,43,63,8
48591,48,35,53,58,54,57,82,0
41776,72,37,78,37,64,24,65,91
33165,15,68,60,9,15,79,99,67
17926,90,3,31,89,74,18,41,64
6244,13,14,44,18,75,68,86,53
10317,78,73,26,27,30,53,27,65
5776,36,57,97,83,52,79,52,7
12806,4,19,94,91,68,17,50,44
25614,4,69,79,20,98,10,75,37
35319,56,81,51,15,96,17,7,14
41754,22,86,8,0,39,93,73,55
32840,6,46,86,74,32,94,19,38
32245,27,57,79,5,91,62,53,44
15919,98,77,6,24,66,40,15,62
34291,38,50,54,68,23,32,76,26
42753,13,35,66,81,49,3,25,83
10399,93,60,72,88,63,43,98,86
41982,72,79,81,6,18,34,63,54
22439,66,65,77,78,76,48,72,55
6536,26,17,13,95,6,79,80,2
12425,14,36,13,80,15,6,92,52
49979,29,65,49,13,32,53,10,63
22602,82,24,71,81,33,69,96,36
39712,99,68,15,96,8,69,49,69
18687,3,45,37,31,37,27,83,60
37000,42,69,80,43,62,21,27,14
45243,24,5,12,57,39,66,52,69
16043,75,93,65,60,31,67,62,57
25424,13,25,10,34,64,24,4,77
10687,47,88,16,13,0,6,35,86
3618,64,72,23,11,89,57,66,30
42457,26,59,63,69,81,63,69,54
43719,29,93,36,85,33,53,96,88
14245,25,6,8,15,44,81,6,27
31326,64,24,87,57,85,22,90,49
20278,82,19,68,94,28,87,38,86
40038,10,78,48,5,51,1,21,44
27277,47,65,62,36,77,50,35,85
35999,72,72,21,56,65,39,22,59
23175,23,19,76,21,45,34,9,10
45828,12,94,48,62,3,49,71,18
19745,72,37,10,5,47,5,20,34
10484,40,6,48,80,48,95,86,99
28181,12,48,12,86,84,71,37,12
3264,60,71,77,85,63,55,8,21
48588,87,13,4,7,10,71,48,35
19833,11,40,64,22,80,27,83,65
39701,98,28,4,51,52,94,73,61
15354,36,6,6,73,7,18,19,33
41597,31,96,59,0,54,2,52,85
31758,26,5,22,39,90,83,66,93
25451,65,25,11,46,20,24,3,56
47167,63,40,8,27,5,89,61,8
46709,14,75,39,49,70,17,9,34
40374,25,79,82,56,24,43,17,4
26101,52,68,31,92,70,92,90,68
19689,36,32,79,89,19,36,64,36
10286,83,99,6,56,17,87,59,18
49135,41,48,88,5,42,64,39,30
41160,59,52,97,16,70,88,62,52
46320,50,52,53,25,50,81,54,44
43566,96,14,72,53,2,44,62,96
35256,80,30,72,12,64,1,15,85
15111,68,5,38,47,72,10,70,1
17429,57,97,24,92,74,80,5,30
14379,85,0,22,53,84,3,66,1
10087,23,71,68,36,30,0,36,40
5251,84,2,10,19,62,20,64,8
28207,57,47,34,61,37,93,95,34
49158,90,54,24,93,92,30,75,0
41251,47,88,51,4,15,23,62,28
25255,75,5,15,10,39,65,52,85
23415,7,76,88,60,50,67,3,5
6631,18,77,9,73,1,18,47,33
7943,41,88,49,82,42,69,34,79
20219,27,52,30,77,42,98,6,78
165,94,59,32,17,17,69,38,38
2218,58,75,79,24,82,34,88,28
39188,77,12,31,76,16,57,43,64
30214,41,40,71,73,16,91,16,72
49118,87,43,71,56,32,27,84,10
4966,53,85,7,85,91,48,19,36
15590,22,3,41,97,82,98,58,68
29556,22,1,46,45,72,83,31,58
1497,2,86,83,64,7,35,70,42
12339,10,89,32,55,37,54,4,30
12539,37,71,67,86,60,50,96,0
37570,74,2,50,61,64,50,83,40
30947,68,54,33,58,7,67,19,5
38455,26,65,74,45,15,79,76,56
7294,66,15,63,96,18,92,51,8
13372,63,64,9,48,58,80,84,14
17679,71,21,40,44,45,48,18,83
23113,11,22,64,0,11,5,82,62
14135,66,52,75,74,36,29,41,55
32729,88,92,9,96,71,6,85,51
1323,65,2,4,43,40,88,43,73
4915,47,32,94,28,89,6,50,42
44190,4,65,90,18,42,34,63,82
38175,85,96,99,10,35,45,36,11
17826,19,61,66,5,86,40,66,36
10877,43,69,34,82,49,98,78,2
32669,76,35,28,71,51,15,82,73
4471,35,10,61,73,36,57,11,91
1384,94,92,6,49,51,2,91,47
13751,21,97,27,60,77,35,3,76
33295,85,98,1,51,61,9,14,13
24843,12,35,45,7,8,79,61,34
31127,33,92,28,22,78,14,75,17
32724,62,50,40,22,68,13,1,3
24014,95,90,35,88,40,95,31,78
30659,37,45,58,79,47,40,2,55
27557,83,26,25,74,11,8,15,64
16075,89,76,39,97,5,49,32,43
28433,41,17,53,41,45,88,78,78
14440,46,12,37,0,65,24,77,74
15221,55,60,0,31,26,84,27,37
39814,56,83,22,70,64,16,89,28
7190,15,78,90,30,70,99,35,82
11971,59,8,48,9,6,49,27,30
29454,60,36,11,21,80,75,68,74
33806,43,81,35,87,12,55,12,67
15687,14,47,53,3,19,98,31,67
32279,80,12,23,32,87,27,98,43
13048,67,89,81,16,79,3,95,89
34311,64,55,29,2,80,52,85,27
22786,81,39,40,4,41,91,14,79
18972,18,60,23,20,62,61,38,88
21143,80,66,40,65,72,4,37,94
47855,90,88,9,81,36,4,31,97
2712,73,52,97,17,29,18,80,13
38422,56,37,95,54,51,79,27,28
33080,98,52,50,59,15,38,25,92
12772,32,59,34,25,37,96,63,49
48304,84,98,48,81,67,85,83,50
10635,14,66,5,77,39,77,74,32
47319,84,52,55,60,65,29,46,29
44577,29,10,18,73,77,72,86,28
32248,30,21,37,29,14,92,36,84
1177,18,54,3,25,4,81,88,46
24937,46,94,31,90,65,21,25,87
10147,90,89,17,52,32,63,27,19
28685,86,62,88,80,39,22,72,94
12724,31,57,58,16,11,55,70,71
19756,53,70,94,24,95,78,41,79
37612,77,28,80,75,58,51,74,79
48187,90,66,67,71,72,71,81,6
4970,81,75,94,32,89,95,1,59
37748,24,7,29,45,8,69,51,26
32520,82,19,81,53,20,86,29,7
49734,4,51,7,34,9,75,27,42
46895,47,62,7,98,15,32,46,82
19114,81,32,6,30,65,55,70,37
28351,5,3,29,59,66,46,22,90
29936,5,15,62,62,33,24,97,70
3331,64,17,44,83,42,82,78,25
3284,46,82,89,59,34,80,0,64
25438,37,62,94,70,57,24,27,39
40799,91,50,17,31,65,74,84,17
23115,39,55,52,16,7,42,44,90
20680,5,59,42,58,57,20,2,63
11470,72,66,97,52,31,28,18,92
37583,51,43,56,54,7,85,34,75
17739,0,38,38,70,62,44,52,43
44737,23,62,21,38,99,86,32,74
6341,65,91,52,18,19,37,26,20
16145,81,49,17,82,77,55,83,37
40493,64,0,41,64,29,75,92,64
27766,75,35,67,34,16,48,37,15
18378,86,77,5,77,27,39,38,76
30978,25,11,39,96,39,98,93,38
9982,1,28,58,2,71,81,48,76
2611,44,50,39,97,80,67,48,70
14033,74,44,48,16,66,45,28,18
39947,95,94,13,70,93,95,74,98
10315,51,53,14,63,29,59,30,75
46675,33,29,87,81,87,37,40,32
39425,96,86,10,78,59,64,23,15
34936,30,73,70,98,70,80,3,84
40520,79,62,45,50,46,14,42,69
45805,31,57,62,9,80,4,92,6
4720,70,59,24,81,69,95,8,10
21372,99,94,86,3,33,99,93,47
3383,90,4,75,62,78,24,65,27
28104,54,81,51,31,74,83,64,40
6105,97,31,72,78,68,43,77,64
22944,71,53,39,25,71,63,85,6
3262,14,64,16,48,82,24,95,9
3312,80,28,99,40,88,37,61,68
20535,13,86,15,20,75,40,17,27
23432,1,6,54,39,0,82,24,71
10478,52,52,63,36,46,49,57,42
6539,0,59,6,43,19,53,16,72
44698,63,46,31,92,2,69,42,0
27514,77,51,59,40,5,4,57,24
38202,47,43,70,82,96,34,38,49
32026,59,80,84,64,19,60,65,35
14666,60,55,73,54,87,76,91,96
11806,29,47,28,44,58,40,96,95
40636,52,8,22,69,45,91,6,33
34637,98,23,55,17,84,7,95,20
24397,78,13,25,56,98,17,67,30
47785,20,88,6,98,51,62,76,78
16791,33,89,59,84,2,54,2,37
28959,63,69,87,84,52,67,24,7
48196,97,84,50,58,53,0,80,13
30,3,70,66,60,47,61,51,5
1344,93,56,44,81,17,30,8,16
44438,14,46,82,77,84,12,86,58
5244,64,57,10,96,56,0,99,91
41892,23,44,70,44,91,88,83,31
39115,49,4,43,87,7,54,83,91
47425,55,70,34,56,26,58,59,89
1826,68,13,44,77,6,84,27,2
37992,38,76,81,7,67,26,11,70
32320,15,25,75,77,66,32,93,18
6625,30,26,26,33,51,63,6,45
8956,42,40,49,19,56,57,35,81
6294,49,72,58,4,31,38,25,41
33517,10,32,15,89,10,49,62,3
48235,11,95,0,19,17,5,63,47
6337,45,96,55,13,61,18,33,77
20312,32,45,44,36,82,65,82,38
22954,34,14,30,36,4,11,31,26
9435,40,26,12,5,28,21,13,87
49973,80,33,91,44,84,16,12,9
10433,65,56,85,81,66,82,79,24
37050,31,83,8,34,11,12,45,7
44395,13,68,69,13,7,18,78,72
22391,42,13,13,94,46,98,49,31
13350,34,55,59,40,55,52,11,26
34795,1,63,65,66,31,9,96,0
49770,70,97,13,68,2,93,28,38
24376,50,85,52,57,84,45,5,37
5649,69,41,83,11,70,27,12,48
40967,87,72,19,36,12,34,47,18
26297,94,43,55,94,86,47,71,0
11391,82,14,26,15,89,27,76,63
26955,51,8,2,9,1,0,4,39
10464,31,66,36,80,52,76,29,33
5066,80,31,49,10,88,30,72,26
22723,8,69,25,69,84,54,81,30
29334,10,27,52,69,90,89,10,53
3334,23,29,52,30,86,99,84,7
46012,14,88,10,72,29,30,29,74
24784,89,29,39,44,53,6,82,45
16619,88,16,84,21,92,35,19,32
12405,39,45,0,44,47,90,11,54
4701,4,70,11,15,50,12,92,57
2345,68,67,5,2,6,45,59,3
31261,55,63,21,61,72,44,30,1
41686,31,84,60,10,90,0,16,22
1697,73,96,90,65,16,83,1,17
22244,68,89,99,66,47,9,71,52
27281,17,33,56,39,99,92,90,97
43230,29,41,6,21,55,8,60,88
36970,99,59,1,74,19,2,27,3
38935,21,87,70,98,82,46,47,89
1379,0,74,87,83,11,7,28,42
39778,80,99,69,72,3,30,30,45
28277,11,36,56,92,49,31,81,27
46004,20,38,13,94,95,27,87,20
33045,25,91,80,6,56,14,0,80
9445,30,7,81,35,52,66,70,22
48353,69,4,35,60,72,61,33,87
34262,68,83,45,54,36,24,57,80
27457,4,29,42,16,64,37,2,12
24604,22,77,46,93,36,48,77,84
2583,52,5,40,13,74,49,49,91
617,11,59,68,52,62,72,88,24
1,36,98,58,28,76,22,31,80
3158,48,99,83,25,74,33,76,17
49375,21,6,66,76,46,60,75,68
42497,56,49,5,13,80,28,55,9
34748,40,25,91,12,4,75,14,80
36394,38,48,9,12,62,47,26,34
13816,51,14,11,66,9,40,78,78
36108,8,7,20,11,75,26,76,10
38275,60,14,74,88,15,40,74,82
1120,97,65,85,28,1,2,2,38
3203,1,25,25,14,55,50,17,20
25540,87,8,53,6,71,84,32,57
24954,8,42,7,91,30,11,6,36
24943,67,83,11,3,86,47,31,51
27195,65,90,68,28,2,69,80,29
34059,32,87,34,4,79,82,13,54
13875,32,1,68,97,21,42,45,90
12759,83,38,20,28,90,68,22,40
11680,94,23,67,89,1,96,9,23
39621,57,28,3,30,40,87,69,12
15513,5,40,45,23,60,68,81,78
38560,72,53,7,19,66,82,50,83
44997,9,69,34,6,53,12,13,96
944,79,18,75,48,50,51,29,8
45497,16,30,96,51,31,83,42,57
16972,27,18,62,33,61,48,25,10
20978,15,98,91,46,97,91,14,51
15892,54,10,35,15,29,10,85,77
22724,12,70,72,93,48,50,33,0
25212,42,56,8,53,64,55,67,71
44886,69,43,25,58,23,0,25,93
27941,85,76,23,67,23,52,38,31
46948,61,2,92,12,12,37,63,90
30033,48,41,88,77,75,28,20,47
44164,89,65,74,9,72,27,69,63
15273,39,79,3,35,18,89,65,69
23324,75,52,40,91,37,7,74,88
20425,53,97,0,73,71,47,38,79
42005,8,49,98,89,1,20,97,23
13243,23,28,43,90,59,25,64,15
9017,52,86,60,55,96,60,32,90
34585,87,85,13,24,98,89,93,48
41100,12,90,42,5,72,28,78,37
8515,25,65,85,83,37,78,33,1
38771,77,37,69,90,19,32,27,83
40278,2,10,86,9,93,27,62,87
31952,62,93,80,82,19,43,11,20
15588,48,49,86,51,48,36,18,67
43231,21,18,45,5,42,5,97,72
22319,55,96,70,14,40,93,25,85
41050,85,48,73,60,60,58,33,38
31646,68,89,17,32,30,44,31,89
9155,33,82,37,77,12,47,30,47
38227,38,70,39,98,44,48,75,56
45548,98,17,63,52,12,72,88,73
33125,27,15,32,94,19,79,20,56
29219,4,58,52,34,68,16,79,71
1429,94,75,31,87,9,94,5,82
36500,82,37,39,12,42,66,18,54
28496,19,63,36,63,13,8,73,48
9680,85,31,96,3,17,76,74,55
39128,1,75,60,15,96,8,85,10
49267,10,20,98,24,41,31,36,7
1079,26,66,95,48,23,32,11,62
19617,70,32,23,0,91,85,12,21
10382,65,13,83,99,11,18,97,93
34132,45,61,23,62,40,50,63,48
28857,11,32,1,11,25,26,83,11
4603,93,72,99,85,45,13,81,26
49856,41,74,63,76,20,13,10,23
28350,14,12,48,19,23,66,80,69
40823,28,80,87,11,76,83,14,87
22617,53,72,8,11,79,2,33,42
32078,76,21,23,63,31,95,36,66
14412,24,56,18,75,62,36,67,27
5838,5,92,95,19,55,26,53,59
46683,58,87,34,31,42,93,27,84
37999,12,12,15,87,92,50,97,84
19083,6,58,74,64,35,60,55,44
32573,51,13,27,65,66,85,42,98
40418,75,16,10,54,38,74,0,73
5400,88,39,87,75,27,16,90,69
17023,84,90,85,29,8,63,14,31
30575,48,87,38,55,0,5,72,10
33961,14,15,88,98,36,57,52,40
1188,9,14,32,61,29,9,36,62
47063,55,99,79,69,38,49,97,68
613,77,60,95,7,23,89,0,40
28872,57,30,93,17,79,89,86,0
9496,17,64,52,20,76,45,98,52
45778,80,89,86,59,14,49,83,6
19466,48,21,27,58,1,41,37,42
33362,0,32,21,7,29,96,90,42
